BFS,CityLaMobiliere,Ycoord,Xcoord
4001,Aarau,250.0825375,645.3971388
131,Adliswil,241.566807,680.9965532
2761,Aesch (BL),257.7042959,612.1662337
2,Affoltern am Albis,236.7753445,676.6185957
5401,Aigle,129.9622762,562.3645894
2762,Allschwil,266.5908227,606.8786603
1201,Altdorf (UR),193.9096832,691.555654
3251,Altstätten,250.9008867,757.8877562
4461,Amriswil,268.2303013,739.3529459
3101,Appenzell,244.1086498,748.9951948
4401,Arbon,265.1347496,749.2202024
2763,Arlesheim,259.9296011,612.9153039
3921,Arosa,183.1941237,770.8473461
1362,Arth,213.7752186,681.3759193
1701,Baar,228.2266258,681.1786492
4021,Baden,259.1678954,665.6796968
2701,Basel,268.820141,610.6385229
52,Bassersdorf,256.1269494,688.3403714
5002,Bellinzona,117.7341493,722.0577285
861,Belp,193.2112017,604.676881
351,Bern,199.8796425,600.1040898
371,Biel/Bienne,222.1335087,584.9351846
2765,Binningen,265.4819745,609.1386741
2766,Birsfelden,266.6008378,612.9008084
6002,Brig-Glis,131.0996142,641.6876217
4095,Brugg,260.1862305,656.6244073
4003,Buchs (SG),226.3110765,753.2344652
2125,Bulle,163.2721315,569.4662728
404,Burgdorf,213.2360568,613.776344
5624,Bussigny,155.7908934,532.6144969
53,Bülach,264.9445437,682.936823
6608,Carouge (GE),116.2373904,498.9707415
1702,Cham,227.0644457,677.404799
5250,Chiasso,77.73786649,723.641126
3901,Chur,191.9990636,759.4583854
6612,Chêne-Bougeries,117.2856601,502.8483297
5583,Crissier,155.773883,534.1482945
3851,Davos,187.0736058,781.7320538
6711,Delémont,246.5793264,591.7953094
243,Dietikon,252.5673,671.7902202
191,Dübendorf,250.5910977,689.9329517
1054,Ebikon,215.8362784,668.4386588
5635,Ecublens (VD),161.1769913,550.2994522
1301,Einsiedeln,219.6098798,699.5106902
1024,Emmen,215.8021792,665.4016891
3402,Flawil,253.5733875,730.6410156
4566,Frauenfeld,268.7082926,709.2284255
1322,Freienbach,229.6270119,700.1009792
2196,Fribourg,184.3595862,577.2064245
6621,Genève,118.447547,499.7795306
5721,Gland,142.7431639,510.1760127
1632,Glarus,211.284412,723.9726505
1630,Glarus Nord,217.8374909,723.6085867
3443,Gossau (SG),240.7432865,699.9137915
2546,Grenchen,227.6742393,596.3152856
3001,Herisau,251.5393209,738.9917481
117,Hinwil,240.8482319,705.9622439
133,Horgen,236.1052194,687.8823793
1058,Horw,208.0205338,665.487072
296,Illnau-Effretikon,251.8221872,697.4626592
578,Interlaken,170.2863,632.6956642
362,Ittigen,203.216009,603.9083226
62,Kloten,257.205346,686.0618922
4671,Kreuzlingen,280.2520807,730.0522653
1059,Kriens,209.1076051,663.1945841
355,Köniz,198.7681214,598.5812613
154,Küsnacht (ZH),242.7530958,686.2720641
6421,La Chaux-de-Fonds,217.8530307,553.0460409
723,La Neuveville,211.0583191,573.0022759
5889,La Tour-de-Peilz,144.795214,555.388508
6628,Lancy,116.250334,498.1987999
329,Langenthal,229.9525599,625.8570747
5586,Lausanne,152.4062541,537.1810469
6623,Le Grand-Saconnex,121.8078104,498.2923323
6436,Le Locle,214.5491265,549.2226576
4201,Lenzburg,249.0611099,655.9757867
2829,Liestal,259.956173,621.9587056
5113,Locarno,115.1793736,704.3452266
5192,Lugano,96.49515468,716.2877804
1061,Luzern,212.4671743,665.4382818
306,Lyss,214.3428623,588.7125321
6136,Martigny,106.5708625,570.7237293
156,Meilen,245.0792801,693.0393853
5254,Mendrisio,82.10620831,719.6694878
6630,Meyrin,120.7759861,493.6454134
6153,Monthey,124.4139557,560.7880881
5886,Montreux,144.4494275,557.0763898
5642,Morges,152.5187912,527.2058562
700,Moutier,237.6821371,594.0522461
356,Muri bei Bern,197.6573218,603.6834286
2275,Murten,197.4844213,575.5049018
