BFS,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34
2,0.004076086956521739,52.4234601449275,0.31068840579710144,0.1816123188405797,1.6811926605504588,0.18554621848739497,0.41757246376811596,6.0673400673400675,35635.15016685206,65099.99999999991,2011.0,1999.0,1598.0,2979.0,2.0,5.0,1777.4,11825.839999999998,1198.6,2283.1299999999987,1.591032608695652,4.0,4.0,6.0,604000.0,1237099.9999999995,1983.0,1901.8,5.230978260869565,1.0,1000.0,8116.942499999997,434.0,1212.09
52,0.0006016847172081829,50.7015643802647,0.36040914560770154,0.27737665463297234,1.7270408163265305,0.14307851239669422,0.36161251504211794,5.839100346020762,37944.8275862069,75000.0,2010.0,2000.0,1796.0,2987.0,2.0,5.949999999999989,1738.3,11049.839999999998,1212.65,2636.2949999999996,1.8074608904933815,4.0,4.0,6.5,663000.0,1173250.0,1986.0,1911.45,4.470517448856799,1.0,986.35,6382.1075,496.225,1325.2
53,0.005681818181818182,50.868421052631675,0.3113038277511962,0.2727272727272727,1.7215007215007214,0.1705165468359594,0.3741028708133971,5.952978056426332,36379.8751950078,70000.0,2010.0,1999.0,1598.0,2987.0,2.0,6.0,1661.85,11765.794999999975,1220.65,2438.9749999999995,1.7766148325358853,4.0,3.5,6.0,622000.0,1279999.9999999984,1974.0,1870.4,5.0941985645933014,1.0,847.8,7406.0999999999985,451.3,1295.3249999999998
62,0.0023752969121140144,51.178939034045925,0.1892319873317498,0.22565320665083136,1.6021739130434782,0.13234831813895,0.38044338875692796,5.802992518703242,37895.78163771712,73500.0,2010.0,1998.0,1780.5,3183.75,2.0,7.0,2027.75,13263.1,1249.3,2353.759999999999,1.8198733174980206,3.0,3.5,5.5,642500.0,1178500.0,1977.0,1880.5,5.8511480601741885,1.0,844.1,7810.039999999996,417.775,1225.1724999999997
66,0.005456349206349206,45.58581349206338,0.15426587301587302,0.31994047619047616,1.5958702064896755,0.3085871728149395,0.3784722222222222,5.993162393162393,37726.81281618887,76000.0,2010.0,1999.0,1794.0,2993.0,2.0,7.0,1742.025,13663.257499999996,1188.75,2290.1949999999974,1.8100198412698412,3.0,3.5,5.5,627000.0,1200000.0,1971.5,1870.0,6.119543650793651,1.0,800.0,8682.849999999991,386.7,1024.4250000000002
69,0.001374885426214482,51.517415215398614,0.26581118240146656,0.24197983501374887,1.6884057971014492,0.13693987699259444,0.3593033913840513,6.084722222222222,39034.435261707986,72750.0,2010.0,1998.0,1798.0,2993.0,2.0,6.0,2008.325,13011.849999999999,1208.9,2416.775,1.8845096241979835,4.0,3.5,6.0,707000.0,1200000.0,1964.5,1909.0,5.527956003666361,1.0,1063.15,7231.239999999995,464.92499999999995,1459.4799999999996
93,0.0,51.98701298701303,0.47763347763347763,0.18326118326118326,1.6129032258064515,0.06162738995108937,0.3492063492063492,5.964856230031949,35194.267515923566,64699.999999999935,2010.0,2000.0,1642.0,2970.0,1.0,5.0,1777.4,14204.694999999976,1237.8,2415.2,1.546897546897547,4.0,4.5,6.5,639000.0,1302000.0,1984.0,1862.0,3.619047619047619,1.0,1060.4,14133.744999999954,588.85,1510.135
96,0.007973251028806584,53.714248971193456,0.27649176954732513,0.2361111111111111,1.6394849785407726,0.21373206530701996,0.3881172839506173,5.867867867867868,38841.59159159159,75450.00000000004,2011.0,1999.0,1796.0,2995.0,2.0,6.0,1830.0,11627.229999999998,1231.5,2374.4599999999996,1.5815329218106995,3.0,3.5,5.5,604000.0,1192799.9999999998,1981.0,1875.0,5.18287037037037,1.0,929.65,9071.320000000005,435.75,1236.25
117,0.0027548209366391185,53.99862258953158,0.43112947658402206,0.1522038567493113,1.7328519855595668,0.13086976115367283,0.3856749311294766,5.933333333333334,36302.76816608997,70000.0,2011.0,1999.0,1781.0,2979.0,2.0,6.0,1940.95,8922.009999999997,1192.8,2530.3749999999995,1.2203856749311295,3.0,4.0,6.5,577500.0,1189500.0,1977.0,1786.4,4.15771349862259,1.0,1057.625,6106.547499999988,483.29999999999995,1305.7375
118,0.002520478890989288,53.27473219911781,0.40264650283553877,0.18273471959672338,1.7865853658536586,0.13130895250703292,0.4114681789540013,6.012323943661972,35417.391304347824,68299.99999999996,2010.0,2000.75,1765.0,2987.0,2.0,6.0,1411.65,12052.269999999973,1141.2,2240.05,1.6824196597353498,3.0,4.0,6.5,544500.0,1078999.9999999995,1968.5,1846.1,4.77189666036547,1.0,886.0,8084.744999999999,459.4,1350.965
