trpt1,trpt2,trpt3,trpt4,trpt5,trpt6,trpt7,trpt8,trpt9,trpt10,trpt11,pop1,pop2,pop3,pop4,pop5,pop6,pop7,pop8,pop9,pop10,pop11,pop12,pop13,pop14,pop15,pop16,pop17,pop18,pop19,pop20,pop21,pop22,pop23,pop24,pop25,pop26,pop27,pop28,pop29,trv1,trv2,trv3,trv4,trv5,trv6,trv7,trv8,trv9,trv10,trv11,esp1,esp2,esp3,esp4,esp5,esp6,esp7,esp8,log1,log2,log3,log4,log5,log6,log7,log8,log9,log10,log11,log12,log13,log14,log15,log16,log17,log18,fin1,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,egmt1,egmt2,egmt3,egmt4,BFS
13967,10910,1113,324,55,230,1141,518.6347,10074.0171,3890.903624,3869.716909,21036,17.04700162,10664,10372,10388,7751,3658,6952,6622,2595,1209,26.94858,28.02416,54.97274,46.5896,4493,9.507511,3.898079,103.7269,93.74406,9.982886,2.01,21.35862,2297,1103,584,380,119,3.54901,343.5833,147.5,2643,2087,435,111,10,37,3092,30364,2.958045,1234,326,68,77,137,399,141,77,79,2.023799,47.85,2,0.55,1.8,3820,2047,1050,440,283,11513,248,1759,1190,318,153,152,664513.718,231023.7306,36635.61671,13260.16703,170980.7006,36490.30509,21671.31863,153075.3168,72145.60105,9822,1993,401,937,4001
11081,8922,391,73,16,38,1554,476.0431,8406.800437,3798.733012,3724.737001,18742,24.12097812,9451,9291,7983,8390,3719,5310,6211,2512,990,32.28018,30.39667,62.67685,39.41083,6676,7.950059,2.774517,88.51777,82.59524,5.922527,2.16,35.62053,4664,885,573,169,334,3.106692,394.6667,172,1048,930,100,13,5,14,720,7706,3.936226,777,208,36,37,77,241,163,14,4,0.85674,41.72,2.2,0.64,0.2,2250,929,1047,193,81,9221,121,672,901,343,149,64,139577.6889,79318.20026,37394.0898,12050.09305,121366.1622,15513.44951,5184.87797,132758.4159,81456.8907,1947,1947,437,1100,131
7382,5716,590,60,55,84,815,561.2726,4177.282833,1518.951616,2095.11439,10184,13.76216216,5217,4967,3874,4835,1938,2298,3717,1653,578,32.21945,37.09061,69.31006,34.96673,2464,7.364493,0.883739,71.1901,69.91359,1.276512,2.24,24.19482,1583,464,225,64,113,1.317212,188.0833,88.66667,621,523,78,17,3,81,2548,2893,3.730497,740,134,21,48,62,121,348,5,24,0.989899,45.94,2.2,0.57,0.1,2120,1513,427,135,45,4950,121,1072,662,157,80,28,58468.61335,30567.65967,8515.87827,11854.81416,44828.62296,7471.43556,5688.6889,44084.50934,26033.32006,1618,1618,271,964,2761
7746,6088,394,124,111,181,761,511.5966,5288.467593,1968.095881,2590.505037,11900,11.23701605,5950,5950,5124,5191,2414,3333,4069,1533,551,32.61281,28.15455,60.76736,35.9426,3314,7.310924,4.453782,95.96639,84.53782,11.42857,2.29,27.84874,1825,982,213,170,114,3.442091,297.9167,112.3333,951,813,118,19,1,52,1198,5101,4.660264,1059,166,19,69,69,297,423,3,83,1.22907,44.27,2.3,0.61,0.9,1916,1081,509,236,90,5614,64,727,767,265,69,24,132127.533,49763.9239,15277.56142,16116.2913,100116.3659,23496.12834,1904.26783,97258.78071,37741.3866,1145,1145,218,634,2
6399,5064,450,74,98,50,550,508.3827,3672.713852,1201.705917,1954.496393,9961,6.07007922,5059,4902,4387,4180,2189,2731,3327,1206,508,36.13404,28.29317,64.4272,42.12272,4022,7.027407,6.123883,78.50617,82.12027,-3.61409,2.29,40.37747,2424,1023,171,311,81,8.278012,294.5833,108.5,819,682,123,13,1,262,1379,4427,5.990914,1641,108,56,109,147,613,560,47,1,1.124285,38.2,2.3,0.69,0.1,1279,704,333,170,72,4892,219,621,296,78,42,23,97841.4025,71039.08867,8524.3594,8288.32506,38922.29776,1944.34885,1914.69312,43537.08753,20379.09681,2303,1355,249,723,5401
11852,9165,719,65,66,50,1703,442.8606,9136.098106,4203.255837,2817.806563,20695,23.27896513,10694,10001,8410,9117,3739,5149,7109,3219,1479,30.50253,38.32599,68.82852,45.94595,5417,8.939357,2.705968,75.86374,67.74583,8.117903,2.07,26.1754,3791,633,596,168,205,3.850665,341.5,156.75,1202,1031,137,29,5,49,2357,8183,3.125917,889,184,64,64,71,242,261,2,125,0.887141,44.41,2.1,0.58,0.2,3446,2006,1180,197,63,10934,85,1217,1432,518,137,57,138990.3918,58451.01566,12609.06464,23857.17007,108535.6431,27338.8675,2150.35525,91639.24799,66869.29908,1851,1851,419,958,2762
7268,5477,453,88,95,233,819,594.6151,4295.195834,397.2753805,2370.623139,9211,9.021547502,4681,4530,4111,4007,1775,2515,3067,1278,576,31.79864,33.2139,65.01254,45.07042,1349,10.96515,-1.51992,65.57377,63.72815,1.845619,2.24,14.64553,809,291,110,100,29,1.358253,55.5,21.83333,816,671,121,22,2,113,1871,4920,1.163984,1021,130,16,34,70,402,349,12,76,0.858464,47.13,2.2,0.56,0.1,1664,735,623,193,113,4543,47,639,548,328,90,12,38140.86623,21046.0152,2508.99716,8617.73608,39066.72226,7278.2022,2162.94027,35988.68558,20792.29406,1936,1053,184,502,1201
9161,6560,689,109,437,133,1056,573.5268,5117.916593,541.2797527,3359.654694,11438,2.898631526,5719,5719,4909,4998,2383,3038,3934,1552,531,34.17958,29.87665,64.05622,34.21392,3044,7.431369,1.748557,78.33537,73.00227,5.3331,2.29,26.61304,1629,1238,121,23,33,2.403592,165.8333,71.25,963,817,123,21,2,346,2695,4140,2.651573,3946,270,25,95,147,833,2401,52,98,2.686367,48.48,2.3,0.55,0.2,3294,2140,465,495,194,5956,147,1733,985,319,89,21,62418.83578,25803.71198,7413.08028,8253.28957,70770.00465,16058.98806,1986.41436,70182.2048,32325.9444,1304,1304,218,696,3251
10238,7927,664,49,342,96,1065,593.9607,5931.238258,893.3025324,4081.095147,13346,7.016824395,6679,6667,5748,5786,2758,3939,4457,1555,637,32.84898,26.10767,58.95665,40.96463,4194,6.593736,4.870373,73.72996,61.29177,12.43818,2.36,31.42515,2148,1764,174,60,44,2.28018,217.9167,94.33333,946,823,110,12,1,237,1887,3627,3.103433,1902,218,25,58,88,246,1256,5,189,2.949992,47.97,2.4,0.59,0.3,2565,1387,650,335,193,6339,120,1214,861,266,73,31,125727.8432,92064.00827,9484.49459,21697.86041,65958.62255,8342.84464,3142.92073,68164.34022,37341.79635,1487,1487,282,764,4461
8972,6380,556,99,589,179,1089,1095.279,2822.579249,301.8161193,1604.094467,5825,3.450829384,2830,2995,2607,2507,1097,1611,1958,841,318,30.7369,32.47408,63.21098,37.81213,1142,21.97425,6.695279,71.24464,85.66524,-14.4206,2.3,19.60515,589,347,97,88,16,1.769151,58.08333,23.75,775,675,88,12,0,175,1668,2990,1.733427,1688,127,7,20,41,364,1112,11,79,1.986982,47.91,2.3,0.55,0.9,1542,730,385,376,51,2919,68,800,502,132,38,2,5531.524,3811.949,2003.153,560.671,5341.478,361.153,741.741,6299.534,4323.694,623,471,76,264,3101
10057,8097,477,64,67,60,1151,564.6444,6051.579291,993.0374584,3999.128031,14340,23.9,7181,7159,5973,6019,2753,3670,5077,2017,823,31.47365,32.46827,63.94192,40.80317,4596,10.73919,-1.46444,72.17573,65.20223,6.973501,2.12,32.05021,2862,1200,230,237,66,4.317959,261.6667,95.75,841,725,96,19,1,37,2054,3900,3.560131,600,186,32,79,71,26,191,7,123,2.039491,45.85,2.1,0.56,0.1,2371,1152,805,233,181,7698,85,904,758,441,138,45,148593.557,50612.28721,13305.97975,17891.75636,84810.8373,16191.88697,6062.36413,79531.80623,44756.01085,2156,1568,252,739,4401
